 #The Line and  Sample are according to LEVEL1 and LEVEL2 image 

 L1Line L1Sample  L2Line   L2Sample  Lon       Lat      Zenith    Azimuth
    473    4881  1073.02    5947.57  114.3412  22.7897   2.5505     -87.3057
    473    5003  1090.33    6069.27  114.3648  22.7861   2.7522     -86.8030
    473    5125  1107.65    6191.13  114.3884  22.7824   2.9543     -86.3672
    473    5247  1125.00    6313.15  114.4121  22.7788   3.1567     -85.9858
    473    5369  1142.38    6435.35  114.4358  22.7751   3.3595     -85.6488
    473    5491  1159.78    6557.74  114.4595  22.7715   3.5626     -85.3488
    473    5613  1177.21    6680.33  114.4833  22.7678   3.7661     -85.0799
    473    5735  1194.67    6803.12  114.5071  22.7642   3.9699     -84.8372
    473    5857  1212.16    6926.13  114.5309  22.7605   4.1740     -84.6171
    473    6000  1232.70    7070.61  114.5589  22.7561   4.4136     -84.3835
    591       1  498.88    1070.72  113.3939  22.9104   5.5718     102.0820
    591     123  516.45    1194.29  113.4179  22.9069   5.3671     102.2085
    591     245  533.98    1317.62  113.4419  22.9033   5.1626     102.3441
    591     367  551.49    1440.72  113.4658  22.8998   4.9585     102.4898
    591     489  568.96    1563.59  113.4897  22.8963   4.7547     102.6470
    591     611  586.40    1686.26  113.5135  22.8927   4.5511     102.8172
    591     733  603.81    1808.72  113.5373  22.8892   4.3478     103.0022
    591     855  621.20    1930.99  113.5611  22.8857   4.1448     103.2042
    591     977  638.56    2053.08  113.5848  22.8822   3.9421     103.4258
    591    1099  655.90    2175.00  113.6085  22.8787   3.7396     103.6701
    591    1221  673.21    2296.75  113.6322  22.8751   3.5374     103.9410
    591    1343  690.50    2418.36  113.6558  22.8716   3.3354     104.2433
    591    1465  707.77    2539.82  113.6794  22.8681   3.1338     104.5830
    591    1587  725.02    2661.16  113.7029  22.8646   2.9324     104.9679
    591    1709  742.26    2782.37  113.7265  22.8611   2.7312     105.4077
    591    1831  759.48    2903.47  113.7500  22.8576   2.5304     105.9156
    591    1953  776.68    3024.46  113.7735  22.8541   2.3300     106.5090
    591    2075  793.88    3145.37  113.7970  22.8505   2.1299     107.2119
    591    2197  811.06    3266.20  113.8204  22.8470   1.9303     108.0580
    591    2319  828.23    3386.95  113.8439  22.8435   1.7313     109.0963
    591    2441  845.39    3507.65  113.8673  22.8400   1.5330     110.4008
    591    2563  862.55    3628.29  113.8907  22.8365   1.3359     112.0883
    591    2685  879.69    3748.89  113.9142  22.8330   1.1403     114.3535
    591    2807  896.84    3869.45  113.9376  22.8294   0.9472     117.5446
    591    2929  913.98    3990.00  113.9610  22.8259   0.7586     122.3392
    591    3051  931.12    4110.54  113.9844  22.8224   0.5787     130.1964
    591    3173  948.26    4231.07  114.0077  22.8188   0.4189     144.5217
    591    3295  965.40    4351.61  114.0311  22.8153   0.3118     171.8472
    591    3417  982.55    4472.17  114.0545  22.8118   0.3166     -150.7460
    591    3539  999.69    4592.76  114.0779  22.8082   0.4294     -124.5612
    591    3661  1016.85    4713.38  114.1013  22.8047   0.5915     -110.8938
    591    3783  1034.01    4834.06  114.1247  22.8011   0.7725     -103.3397
    591    3905  1051.18    4954.79  114.1482  22.7975   0.9619     -98.6969
    591    4027  1068.35    5075.58  114.1716  22.7940   1.1555     -95.5903
    591    4149  1085.54    5196.46  114.1950  22.7904   1.3516     -93.3762
    591    4271  1102.74    5317.43  114.2185  22.7868   1.5494     -91.7218
    591    4393  1119.96    5438.49  114.2420  22.7832   1.7482     -90.4399
    591    4515  1137.19    5559.66  114.2655  22.7797   1.9479     -89.4177
    591    4637  1154.44    5680.94  114.2890  22.7761   2.1482     -88.5835
    591    4759  1171.71    5802.36  114.3125  22.7725   2.3491     -87.8896
    591    4881  1188.99    5923.91  114.3361  22.7688   2.5504     -87.3031
    591    5003  1206.30    6045.61  114.3597  22.7652   2.7521     -86.8007
    591    5125  1223.63    6167.46  114.3833  22.7616   2.9542     -86.3652
    591    5247  1240.98    6289.49  114.4070  22.7580   3.1567     -85.9840
    591    5369  1258.36    6411.69  114.4307  22.7543   3.3594     -85.6472
    591    5491  1275.77    6534.07  114.4544  22.7507   3.5626     -85.3474
    591    5613  1293.20    6656.66  114.4781  22.7470   3.7660     -85.0786
    591    5735  1310.66    6779.45  114.5019  22.7433   3.9698     -84.8361
    591    5857  1328.16    6902.46  114.5258  22.7397   4.1739     -84.6161
    591    6000  1348.70    7046.93  114.5538  22.7353   4.4136     -84.3827
    709       1  614.71    1047.11  113.3889  22.8895   5.5719     102.0790
    709     123  632.28    1170.68  113.4129  22.8860   5.3671     102.2054
    709     245  649.82    1294.00  113.4369  22.8825   5.1627     102.3409
    709     367  667.33    1417.10  113.4608  22.8789   4.9585     102.4865
    709     489  684.80    1539.97  113.4847  22.8754   4.7547     102.6436
    709     611  702.25    1662.63  113.5085  22.8719   4.5511     102.8137
    709     733  719.67    1785.10  113.5323  22.8684   4.3479     102.9986
    709     855  737.06    1907.36  113.5561  22.8649   4.1448     103.2005
    709     977  754.42    2029.45  113.5798  22.8613   3.9421     103.4219
    709    1099  771.76    2151.37  113.6035  22.8578   3.7396     103.6660
    709    1221  789.07    2273.12  113.6272  22.8543   3.5374     103.9367
    709    1343  806.37    2394.73  113.6508  22.8508   3.3355     104.2389
    709    1465  823.64    2516.19  113.6744  22.8473   3.1338     104.5784
    709    1587  840.90    2637.52  113.6979  22.8438   2.9324     104.9630
    709    1709  858.14    2758.73  113.7215  22.8403   2.7313     105.4025
    709    1831  875.36    2879.83  113.7450  22.8367   2.5305     105.9101
    709    1953  892.57    3000.83  113.7685  22.8332   2.3300     106.5031
    709    2075  909.77    3121.73  113.7920  22.8297   2.1299     107.2056
    709    2197  926.95    3242.56  113.8154  22.8262   1.9303     108.0511
    709    2319  944.13    3363.31  113.8389  22.8227   1.7313     109.0887
    709    2441  961.29    3484.00  113.8623  22.8192   1.5330     110.3924
    709    2563  978.45    3604.64  113.8857  22.8156   1.3359     112.0788
    709    2685  995.60    3725.24  113.9091  22.8121   1.1403     114.3426
    709    2807  1012.75    3845.81  113.9325  22.8086   0.9472     117.5318
    709    2929  1029.89    3966.35  113.9559  22.8051   0.7586     122.3236
    709    3051  1047.04    4086.89  113.9793  22.8015   0.5786     130.1768
